         186621 function calls (186545 primitive calls) in 0.258 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.010    0.010    0.258    0.258 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/src/kmeans.py:141(get_propeller_masks)
        1    0.001    0.001    0.245    0.245 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/src/kmeans.py:96(kmeans)
        1    0.089    0.089    0.185    0.185 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/src/kmeans.py:77(remove_outliers)
    19114    0.050    0.000    0.090    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/linalg/_linalg.py:2575(norm)
        4    0.000    0.000    0.042    0.011 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/base.py:1348(wrapper)
        4    0.008    0.002    0.040    0.010 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:1426(fit)
        4    0.000    0.000    0.022    0.006 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/parallel.py:169(wrapper)
        4    0.018    0.005    0.022    0.005 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:623(_kmeans_single_lloyd)
    19114    0.018    0.000    0.018    0.000 {method 'dot' of 'numpy.ndarray' objects}
     27/3    0.000    0.000    0.014    0.005 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/_param_validation.py:187(wrapper)
        3    0.000    0.000    0.014    0.005 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/metrics/cluster/_unsupervised.py:389(davies_bouldin_score)
      205    0.008    0.000    0.008    0.000 {method 'reduce' of 'numpy.ufunc' objects}
    19114    0.005    0.000    0.008    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/linalg/_linalg.py:128(isComplexType)
    19116    0.008    0.000    0.008    0.000 {method 'ravel' of 'numpy.ndarray' objects}
       12    0.000    0.000    0.007    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:2254(pairwise_distances)
       12    0.000    0.000    0.007    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:1951(_parallel_pairwise)
       12    0.000    0.000    0.006    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:273(euclidean_distances)
    38330    0.006    0.000    0.006    0.000 {built-in method builtins.issubclass}
       38    0.001    0.000    0.005    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/validation.py:734(check_array)
        5    0.001    0.000    0.005    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:151(_var)
       44    0.000    0.000    0.004    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/_methods.py:118(_mean)
       36    0.000    0.000    0.004    0.000 {method 'mean' of 'numpy.ndarray' objects}
        4    0.000    0.000    0.004    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:1403(_check_params_vs_input)
        4    0.000    0.000    0.004    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:868(_check_params_vs_input)
        4    0.000    0.000    0.004    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/cluster/_kmeans.py:279(_tolerance)
        4    0.000    0.000    0.004    0.001 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/fromnumeric.py:4073(var)
       12    0.000    0.000    0.003    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:75(check_pairwise_arrays)
       75    0.001    0.000    0.003    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/utils/extmath.py:47(row_norms)
    19356    0.003    0.000    0.003    0.000 {built-in method numpy.asarray}
       12    0.000    0.000    0.003    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/sklearn/metrics/pairwise.py:391(_euclidean_distances)
    19162    0.002    0.000    0.002    0.000 /home/mlesdani/junction2025_sensofusion/monorepo/monorepo/dd5000/.venv/lib/python3.13/site-packages/numpy/_core/multiarray.py:383(where)
